Time (ms),%CPU,%MEM
611000,6.6,0.6
611500,0.0,0.6
612000,0.0,0.6
613000,0.0,0.6
613500,0.0,0.6
614000,0.0,0.6
615000,0.0,0.6
615500,6.6,0.6
616000,0.0,0.6
617000,6.6,0.6
617500,0.0,0.6
618000,0.0,0.6
619000,6.6,0.6
619500,6.6,0.6
620000,0.0,0.6
621000,6.6,0.6
621500,0.0,0.6
622000,0.0,0.6
623000,0.0,0.6
623500,0.0,0.6
624000,0.0,0.6
625000,0.0,0.6
625500,6.6,0.6
626000,0.0,0.6
627000,6.6,0.6
627500,0.0,0.6
628000,0.0,0.6
629000,0.0,0.6
629500,6.6,0.6
630000,6.6,0.6
631000,6.6,0.6
631500,0.0,0.6
632000,0.0,0.6
633000,0.0,0.6
633500,0.0,0.6
634000,6.6,0.6
635000,6.6,0.6
635500,6.6,0.6
636000,6.6,0.6
636500,0.0,0.6
637000,0.0,0.6
638000,6.6,0.6
638500,0.0,0.6
639000,0.0,0.6
640000,0.0,0.6
640500,6.6,0.6
641000,0.0,0.6
642000,0.0,0.6
642500,0.0,0.6
643000,0.0,0.6
644000,6.6,0.6
644500,0.0,0.6
645000,6.6,0.6
646000,0.0,0.6
646500,0.0,0.6
647000,0.0,0.6
648000,6.6,0.6
648500,6.6,0.6
649000,6.6,0.6
650000,0.0,0.6
650500,6.6,0.6
651000,0.0,0.6
652000,0.0,0.6
652500,0.0,0.6
653000,0.0,0.6
654000,6.6,0.6
654500,6.6,0.6
655000,0.0,0.6
656000,6.6,0.6
656500,0.0,0.6
657000,6.6,0.6
658000,6.6,0.6
658500,6.6,0.6
659000,6.6,0.6
660000,6.6,0.6
660500,0.0,0.6
661000,0.0,0.6
662000,0.0,0.6
662500,0.0,0.6
663000,0.0,0.6
664000,0.0,0.6
664500,6.6,0.6
665000,6.6,0.6
666000,0.0,0.6
666500,6.6,0.6
667000,6.6,0.6
668000,6.6,0.6
668500,0.0,0.6
669000,6.6,0.6
670000,0.0,0.6
670500,0.0,0.6
671000,6.6,0.6
672000,0.0,0.6
672500,0.0,0.6
673000,0.0,0.6
674000,0.0,0.6
674500,0.0,0.6
675000,6.6,0.6
676000,0.0,0.6
676500,0.0,0.6
677000,6.6,0.6
678000,0.0,0.6
678500,6.6,0.6
679000,6.6,0.6
680000,6.6,0.6
680500,0.0,0.6
681000,6.6,0.6
681500,0.0,0.6
682000,0.0,0.6
683000,0.0,0.6
683500,0.0,0.6
684000,0.0,0.6
685000,0.0,0.6
685500,0.0,0.6
686000,6.6,0.6
687000,6.6,0.6
687500,6.6,0.6
688000,0.0,0.6
689000,0.0,0.6
689500,6.6,0.6
690000,6.6,0.6
691000,6.6,0.6
691500,6.6,0.6
692000,0.0,0.6
693000,0.0,0.6
693500,0.0,0.6
694000,6.6,0.6
695000,0.0,0.6
695500,6.6,0.6
696000,0.0,0.6
697000,6.6,0.6
697500,0.0,0.6
698000,6.6,0.6
699000,0.0,0.6
699500,6.6,0.6
700000,6.6,0.6
701000,6.6,0.6
701500,0.0,0.6
702000,0.0,0.6
703000,0.0,0.6
703500,0.0,0.6
704000,6.6,0.6
705000,6.6,0.6
705500,0.0,0.6
706000,6.6,0.6
707000,0.0,0.6
707500,6.6,0.6
708000,6.6,0.6
709000,0.0,0.6
709500,0.0,0.6
710000,0.0,0.6
711000,0.0,0.6
711500,0.0,0.6
712000,0.0,0.6
713000,0.0,0.6
713500,0.0,0.6
714000,0.0,0.6
715000,6.6,0.6
715500,0.0,0.6
716000,6.6,0.6
717000,0.0,0.6
717500,0.0,0.6
718000,6.6,0.6
719000,6.6,0.6
719500,6.6,0.6
720000,6.6,0.6
721000,0.0,0.6
721500,0.0,0.6
722000,0.0,0.6
723000,0.0,0.6
723500,0.0,0.6
724000,0.0,0.6
725000,6.6,0.6
725500,0.0,0.6
726000,6.6,0.6
726500,0.0,0.6
727000,0.0,0.6
728000,0.0,0.6
728500,6.6,0.6
729000,13.3,0.6
730000,0.0,0.6
730500,0.0,0.6
731000,0.0,0.6
732000,0.0,0.6
732500,0.0,0.6
733000,0.0,0.6
734000,6.6,0.6
734500,0.0,0.6
735000,6.6,0.6
736000,0.0,0.6
736500,0.0,0.6
737000,0.0,0.6
738000,0.0,0.6
738500,0.0,0.6
739000,13.3,0.6
740000,0.0,0.6
740500,0.0,0.6
741000,6.6,0.6
742000,0.0,0.6
742500,0.0,0.6
743000,0.0,0.6
744000,6.6,0.6
744500,0.0,0.6
745000,6.6,0.6
746000,0.0,0.6
746500,0.0,0.6
747000,0.0,0.6
748000,6.6,0.6
748500,0.0,0.6
749000,0.0,0.6
750000,0.0,0.6
750500,0.0,0.6
751000,6.6,0.6
752000,0.0,0.6
752500,0.0,0.6
753000,0.0,0.6
754000,0.0,0.6
754500,0.0,0.6
755000,6.6,0.6
756000,6.6,0.6
756500,0.0,0.6
757000,6.6,0.6
758000,0.0,0.6
758500,0.0,0.6
759000,6.6,0.6
759500,6.6,0.6
760000,0.0,0.6
761000,6.6,0.6
761500,0.0,0.6
762000,0.0,0.6
763000,0.0,0.6
763500,0.0,0.6
764000,6.6,0.6
765000,0.0,0.6
765500,0.0,0.6
766000,0.0,0.6
767000,6.6,0.6
767500,6.6,0.6
768000,6.6,0.6
769000,6.6,0.6
769500,6.6,0.6
770000,0.0,0.6
771000,6.6,0.6
771500,0.0,0.6
772000,0.0,0.6
773000,0.0,0.6
773500,0.0,0.6
774000,13.3,0.6
775000,0.0,0.6
775500,0.0,0.6
776000,0.0,0.6
777000,0.0,0.6
777500,0.0,0.6
778000,0.0,0.6
779000,0.0,0.6
779500,0.0,0.6
780000,0.0,0.6
781000,0.0,0.6
781500,0.0,0.6
782000,0.0,0.6
783000,0.0,0.6
783500,0.0,0.6
784000,6.6,0.6
785000,6.6,0.6
785500,0.0,0.6
786000,0.0,0.6
787000,6.6,0.6
787500,0.0,0.6
788000,6.6,0.6
788500,6.6,0.6
789000,6.6,0.6
790000,0.0,0.6
790500,0.0,0.6
791000,0.0,0.6
792000,0.0,0.6
792500,0.0,0.6
793000,0.0,0.6
794000,0.0,0.6
794500,6.6,0.6
795000,0.0,0.6
796000,6.6,0.6
796500,6.6,0.6
797000,0.0,0.6
798000,0.0,0.6
798500,0.0,0.6
799000,6.6,0.6
800000,0.0,0.6
800500,6.6,0.6
801000,6.6,0.6
802000,0.0,0.6
802500,0.0,0.6
803000,0.0,0.6
804000,0.0,0.6
804500,0.0,0.6
805000,6.6,0.6
806000,6.6,0.6
806500,0.0,0.6
807000,0.0,0.6
808000,6.6,0.6
808500,0.0,0.6
809000,13.3,0.6
810000,0.0,0.6
810500,6.6,0.6
811000,0.0,0.6
812000,0.0,0.6
812500,0.0,0.6
813000,0.0,0.6
814000,6.6,0.6
814500,0.0,0.6
815000,6.6,0.6
816000,0.0,0.6
816500,6.6,0.6
817000,0.0,0.6
818000,6.6,0.6
818500,0.0,0.6
819000,0.0,0.6
820000,6.6,0.6
820500,6.6,0.6
821000,0.0,0.6
822000,0.0,0.6
822500,0.0,0.6
823000,0.0,0.6
824000,0.0,0.6
824500,0.0,0.6
825000,0.0,0.6
826000,6.6,0.6
